SYMBOL,NAME,PRICE(USD),update_date
BTC,Bitcoin,77773.91230665677,2025-04-07 03:42:42.810572
ETH,Ethereum,1556.734783637152,2025-04-07 03:42:42.810572
USDT,Tether,1.001930705029314,2025-04-07 03:42:42.810572
XRP,XRP,1.8360880900222631,2025-04-07 03:42:42.810572
BNB,BNB,553.940149436605,2025-04-07 03:42:42.810572
USDC,USDC,1.0021793234694836,2025-04-07 03:42:42.810572
SOL,Solana,104.62035645052644,2025-04-07 03:42:42.810572
TRX,TRON,0.226692106529217,2025-04-07 03:42:42.810572
DOGE,Dogecoin,0.1439987087223958,2025-04-07 03:42:42.810572
ADA,Cardano,0.5594471331916383,2025-04-07 03:42:42.810572
STETH,Lido Staked ETH,1575.0773189710496,2025-04-07 03:42:42.810572
WBTC,Wrapped Bitcoin,79668.34718492684,2025-04-07 03:42:42.810572
LEO,UNUS SED LEO,8.894084131978529,2025-04-07 03:42:42.810572
LINK,Chainlink,11.097874273216796,2025-04-07 03:42:42.810572
TON,Toncoin,2.923005563677224,2025-04-07 03:42:42.810572
XLM,Stellar,0.2155847433415537,2025-04-07 03:42:42.810572
SHIB,Shiba Inu,1.11258344452e-05,2025-04-07 03:42:42.810572
AVAX,Avalanche,15.76193835846552,2025-04-07 03:42:42.810572
SUI,Sui,1.8615530561332505,2025-04-07 03:42:42.810572
OM,Mantra,5.9476579147322965,2025-04-07 03:42:42.810572
HBAR,Hedera,0.1366788949006426,2025-04-07 03:42:42.810572
DOT,Polkadot,3.538887552388729,2025-04-07 03:42:42.810572
DAI,Dai,1.0034396126664409,2025-04-07 03:42:42.810572
BCH,Bitcoin Cash,267.75281962653565,2025-04-07 03:42:42.810572
LTC,Litecoin,68.70572539767221,2025-04-07 03:42:42.810572
USDE,Ethena USDe,0.9986183046332237,2025-04-07 03:42:42.810572
WETH,Wrapped ETH,1510.614295371925,2025-04-07 03:42:42.810572
BTCB,Bitcoin BEP2,77780.40156477012,2025-04-07 03:42:42.810572
BGB,Bitget Token,4.103665308983099,2025-04-07 03:42:42.810572
PI,Pi,0.5667653830570444,2025-04-07 03:42:42.810572
XMR,Monero,199.8499678766269,2025-04-07 03:42:42.810572
HYPE,Hyperliquid,10.377357679830588,2025-04-07 03:42:42.810572
UNI,Uniswap,5.0423825385484795,2025-04-07 03:42:42.810572
OKB,OKB,51.28835723650548,2025-04-07 03:42:42.810572
PEPE,Pepe,6.1665186378e-06,2025-04-07 03:42:42.810572
APT,Aptos,4.271538528498345,2025-04-07 03:42:42.810572
NEAR,Near Protocol,2.1428705453576504,2025-04-07 03:42:42.810572
MNT,Mantle,0.685630518166149,2025-04-07 03:42:42.810572
ONDO,Ondo,0.7242394000215986,2025-04-07 03:42:42.810572
ICP,Internet Computer,4.551929550850045,2025-04-07 03:42:42.810572
FDUSD,First Digital USD,0.9891625754074244,2025-04-07 03:42:42.810572
CRO,Cronos,0.0800066845597554,2025-04-07 03:42:42.810572
ETC,Ethereum Classic,13.795195732825082,2025-04-07 03:42:42.810572
AAVE,Aave,126.01744733775392,2025-04-07 03:42:42.810572
GT,GateToken,20.666057573668716,2025-04-07 03:42:42.810572
POL,POL (prev. MATIC),0.1676644189249963,2025-04-07 03:42:42.810572
ATOM,Cosmos,4.351106839258474,2025-04-07 03:42:42.810572
VET,VeChain,0.0193730536574448,2025-04-07 03:42:42.810572
TAO,Bittensor,185.33167320894927,2025-04-07 03:42:42.810572
TRUMP,Trump Official,7.736297931821546,2025-04-07 03:42:42.810572
FIL,Filecoin,2.3559718072081903,2025-04-07 03:42:42.810572
ENA,Ethena,0.2703691157045944,2025-04-07 03:42:42.810572
KAS,Kaspa,0.056406775611564,2025-04-07 03:42:42.810572
RENDER,Render,2.7757178185303117,2025-04-07 03:42:42.810572
TIA,Celestia,2.3305897222386287,2025-04-07 03:42:42.810572
ALGO,Algorand,0.1575543819894298,2025-04-07 03:42:42.810572
ARB,Arbitrum,0.2666562058811387,2025-04-07 03:42:42.810572
DEXE,DeXe,14.667422594172011,2025-04-07 03:42:42.810572
S,Sonic (prev. FTM),0.4210246038684246,2025-04-07 03:42:42.810572
EOS,EOS,0.7077581142507352,2025-04-07 03:42:42.810572
KCS,KuCoin Token,8.492803632481824,2025-04-07 03:42:42.810572
IP,Story,4.074760692047477,2025-04-07 03:42:42.810572
XDC,XDC Network,0.0668865661231772,2025-04-07 03:42:42.810572
OP,Optimism,0.5995374744462065,2025-04-07 03:42:42.810572
MKR,Maker,1130.265021742738,2025-04-07 03:42:42.810572
FET,Artificial Superintelligence Alliance,0.3713743853230537,2025-04-07 03:42:42.810572
JUP,Jupiter,0.331317662958208,2025-04-07 03:42:42.810572
WBNB,Wrapped BNB,528.0288084600737,2025-04-07 03:42:42.810572
STX,Stacks,0.5258315882818959,2025-04-07 03:42:42.810572
USD0,Usual USD,0.997611828034012,2025-04-07 03:42:42.810572
WLD,Worldcoin,0.6296967631150627,2025-04-07 03:42:42.810572
MOVE,Movement,0.3138175898444277,2025-04-07 03:42:42.810572
QNT,Quant,62.96143294823937,2025-04-07 03:42:42.810572
BONK,Bonk,9.7144786199e-06,2025-04-07 03:42:42.810572
XAUT,Tether Gold,3031.0941223302407,2025-04-07 03:42:42.810572
PYUSD,PayPal USD,1.0001179239039957,2025-04-07 03:42:42.810572
FORM,Four,1.911363396261548,2025-04-07 03:42:42.810572
FLR,Flare,0.0116451413501338,2025-04-07 03:42:42.810572
GRT,The Graph,0.0722311123107334,2025-04-07 03:42:42.810572
INJ,Injective,6.969974986046418,2025-04-07 03:42:42.810572
THETA,Theta Network,0.6862079152184507,2025-04-07 03:42:42.810572
SEI,Sei,0.1397242347957397,2025-04-07 03:42:42.810572
IMX,Immutable X,0.380802251377072,2025-04-07 03:42:42.810572
PAXG,PAX Gold,3059.1361684631893,2025-04-07 03:42:42.810572
NEXO,Nexo,0.9562500485493208,2025-04-07 03:42:42.810572
LDO,Lido DAO,0.6746636842976068,2025-04-07 03:42:42.810572
XTZ,Tezos,0.5714751157135933,2025-04-07 03:42:42.810572
KAIA,Kaia,0.0979515883080348,2025-04-07 03:42:42.810572
ZEC,Zcash,36.52141334328945,2025-04-07 03:42:42.810572
BTTOLD,BitTorrent [New],5.876084648e-07,2025-04-07 03:42:42.810572
