SYMBOL,NAME,PRICE(USD)
BTC,Bitcoin,91527.2396837641592405
ETH,Ethereum,2302.1434224615115961
XRP,XRP,2.6330396281323661
USDT,Tether,1.0006300995994678
BNB,BNB,604.0792834091699436
SOL,Solana,152.0103351637022448
USDC,USDC,1.0000277876738959
ADA,Cardano,0.9657213743723604
DOGE,Dogecoin,0.2114493767486692
STETH,Lido Staked ETH,2266.6260433471687708
TRX,TRON,0.2431912355422167
WBTC,Wrapped Bitcoin,91259.8638793320938161
LINK,Chainlink,17.5745805060788747
HBAR,Hedera,0.2506768453440412
XLM,Stellar,0.3072232694305970
AVAX,Avalanche,22.1661501815100764
LEO,UNUS SED LEO,9.8851876807694685
SUI,Sui,2.6975872326573366
LTC,Litecoin,108.4704373316874427
SHIB,Shiba Inu,0.0000136054155256
BCH,Bitcoin Cash,398.0056717373982695
TON,Toncoin,3.0703355158385641
DOT,Polkadot,4.5887016502031379
OM,Mantra,6.8957321434277434
HYPE,Hyperliquid,17.2586903834514399
USDE,Ethena USDe,0.9990721425988665
DAI,Dai,1.0000254484959575
UNI,Uniswap,7.5281780368481491
XMR,Monero,229.6591842232287199
ONDO,Ondo,1.1930195119754998
NEAR,Near Protocol,3.1615192948731491
APT,Aptos,6.2283310686686578
AAVE,Aave,229.0884716413005446
ETC,Ethereum Classic,20.6558476961691400
ICP,Internet Computer,6.4324141606367820
PEPE,Pepe,0.0000072279240844
TRUMP,Trump Official,13.8842078735258969
OKB,OKB,44.1114111440090926
VET,VeChain,0.0293920580624174
TAO,Bittensor,295.0099112632704579
CRO,Cronos,0.0898375365443833
POL,POL (prev. MATIC),0.2597493362948875
ALGO,Algorand,0.2552186286366897
FIL,Filecoin,3.1644208114315494
KAS,Kaspa,0.0763012680674222
ARB,Arbitrum,0.4277600323197573
GT,GateToken,21.8620043497057761
TIA,Celestia,3.3866080922910417
JUP,Jupiter,0.6405706189801095
ATOM,Cosmos,4.3955582475731916
FTM,Fantom,0.5916031895857705
FET,Artificial Superintelligence Alliance,0.6447574487064722
DEXE,DeXe,18.3210456345983820
KCS,KuCoin Token,11.6454720213322253
INJ,Injective,12.2043064399311178
XDC,XDC Network,0.0748292779140785
MKR,Maker,1356.0574924486110315
STX,Stacks,0.7485770714100548
THETA,THETA,1.1054659642309322
LDO,Lido DAO,1.2209060608097300
GRT,The Graph,0.1118328346636151
QNT,Quant,86.2237902968780520
EOS,EOS,0.5627736591572217
IOTA,IOTA,0.2244477374949898
XTZ,Tezos,0.7945121298085693
TEL,Telcoin,0.0085684221576647
SAND,The Sandbox,0.3225558346181371
NEXO,Nexo,1.1744080892538298
GALA,Gala,0.0193440630732303
BSV,Bitcoin SV,36.8914004026062057
FLOW,Flow,0.4540239421600973
RAY,Raydium,2.2558618457624768
NEO,Neo,9.2674597663384792
HNT,Helium,3.4791160642282947
WIF,dogwifhat,0.5941716289664312
AXS,Axie Infinity,3.6365655171203532
CRV,Curve DAO Token,0.4439372704960947
ZEC,Zcash,35.8557345459517742
MANA,Decentraland,0.2923103337216246
EGLD,MultiversX,21.6839951267967881
CAKE,PancakeSwap,1.7954470587123493
CFX,Conflux,0.1038319383276968
KAVA,Kava,0.4672224602515134
FTT,FTX Token,1.5096324725116516
AR,Arweave,7.5552382314525292
MATIC,Polygon,0.2589680115843811
FRAX,Frax,0.9968065641940454
TUSD,TrueUSD,0.9979700217595936
XEC,eCash,0.0000236674383299
CHZ,Chiliz,0.0491193030031565
COMP,Compound,51.5859432400881764
RUNE,THORChain,1.2509395095521960
MELANIA,Official Melania,0.8123276448986304
PENDLE,Pendle,2.6027851124786606
TWT,Trust Wallet Token,1.0342875572888790
PENGU,Pudgy Penguins,0.0065954997586054
AIOZ,AIOZ Network,0.3492229947560084
AMP,Amp,0.0045813228286377
RSR,Reserve Rights,0.0068975887934709
GNO,Gnosis,145.4221070869500554
